experiment,variable,time_yr,value
SPIN,ocn_temp,0.5,10.030544
SPIN,ocn_temp,1.5,10.08471
SPIN,ocn_temp,2.5,10.129888
SPIN,ocn_temp,3.5,10.169254
SPIN,ocn_temp,4.5,10.204776
SPIN,ocn_temp,5.5,10.237223
SPIN,ocn_temp,6.5,10.267147
SPIN,ocn_temp,7.5,10.294941
SPIN,ocn_temp,8.5,10.320902
SPIN,ocn_temp,9.5,10.345251
SPIN,ocn_temp,10.5,10.368157
SPIN,ocn_temp,11.5,10.38977
SPIN,ocn_temp,12.5,10.410214
SPIN,ocn_temp,13.5,10.429602
SPIN,ocn_temp,14.5,10.448027
SPIN,ocn_temp,15.5,10.465573
SPIN,ocn_temp,16.5,10.482309
SPIN,ocn_temp,17.5,10.498295
SPIN,ocn_temp,18.5,10.513589
SPIN,ocn_temp,19.5,10.528237
SPIN,ocn_temp,21.5,10.555751
SPIN,ocn_temp,23.5,10.58112
SPIN,ocn_temp,25.5,10.604579
SPIN,ocn_temp,27.5,10.62632
SPIN,ocn_temp,29.5,10.646492
SPIN,ocn_temp,31.5,10.665249
SPIN,ocn_temp,33.5,10.682725
SPIN,ocn_temp,35.5,10.699056
SPIN,ocn_temp,37.5,10.714378
SPIN,ocn_temp,39.5,10.72885
SPIN,ocn_temp,41.5,10.742598
SPIN,ocn_temp,43.5,10.7557
SPIN,ocn_temp,45.5,10.768205
SPIN,ocn_temp,47.5,10.780144
SPIN,ocn_temp,49.5,10.791541
SPIN,ocn_temp,51.5,10.80242
SPIN,ocn_temp,53.5,10.81283
SPIN,ocn_temp,55.5,10.822795
SPIN,ocn_temp,57.5,10.832351
SPIN,ocn_temp,59.5,10.841534
SPIN,ocn_temp,61.5,10.850372
SPIN,ocn_temp,63.5,10.858848
SPIN,ocn_temp,65.5,10.866964
SPIN,ocn_temp,67.5,10.874744
SPIN,ocn_temp,69.5,10.88221
SPIN,ocn_temp,71.5,10.889378
SPIN,ocn_temp,73.5,10.896268
SPIN,ocn_temp,75.5,10.902898
SPIN,ocn_temp,77.5,10.909283
SPIN,ocn_temp,79.5,10.91544
SPIN,ocn_temp,81.5,10.921379
SPIN,ocn_temp,83.5,10.927111
SPIN,ocn_temp,85.5,10.932655
SPIN,ocn_temp,87.5,10.938016
SPIN,ocn_temp,89.5,10.943196
SPIN,ocn_temp,91.5,10.948206
SPIN,ocn_temp,93.5,10.953054
SPIN,ocn_temp,95.5,10.957747
SPIN,ocn_temp,97.5,10.962292
SPIN,ocn_temp,99.5,10.966698
SPIN,ocn_temp,104.5,10.977123
SPIN,ocn_temp,109.5,10.986755
SPIN,ocn_temp,114.5,10.995653
SPIN,ocn_temp,119.5,11.003863
SPIN,ocn_temp,124.5,11.011392
SPIN,ocn_temp,129.5,11.018332
