pft,PFT,diameter,volume,vmax_C,qmin_P,qmax_P,vmax_PO4,affin_PO4,kexc_P,qmin_Fe,qmax_Fe,vmax_Fe,affin_Fe,kexc_Fe,q_C,alphachl,max_graz_C,kg_C,pp_opt,pp_sig,respiration,biosink,mortality,beta_graz,beta_mort
1,phytoplankton,0.1,0.000524,-0.00712,0.0027,0.0217,0.028,25.7,0.0,6.86e-07,4.1e-06,0.000439,1.24,0.0,1.88e-14,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.8,0.8
2,phytoplankton,0.15,0.00177,0.0142,0.0027,0.0217,0.0301,15.1,0.0,6.86e-07,4.1e-06,0.000376,0.908,0.0,5.48e-14,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.799,0.799
3,phytoplankton,0.2,0.00419,0.0357,0.0027,0.0217,0.0317,10.3,0.0,6.86e-07,4.1e-06,0.000337,0.727,0.0,1.17e-13,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.799,0.799
4,phytoplankton,0.25,0.00818,0.0574,0.0027,0.0217,0.033,7.72,0.0,6.86e-07,4.1e-06,0.00031,0.612,0.0,2.11e-13,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.799,0.799
5,phytoplankton,0.3,0.0141,0.0796,0.0027,0.0217,0.0341,6.08,0.0,6.86e-07,4.1e-06,0.000289,0.532,0.0,3.42e-13,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.799,0.799
6,phytoplankton,0.45,0.0477,0.149,0.0027,0.0217,0.0367,3.57,0.0,6.86e-07,4.1e-06,0.000248,0.389,0.0,9.97e-13,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.798,0.798
7,phytoplankton,0.6,0.113,0.225,0.0027,0.0217,0.0386,2.45,0.0,6.86e-07,4.1e-06,0.000222,0.311,0.0,2.13e-12,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.798,0.798
8,phytoplankton,0.8,0.268,0.334,0.0027,0.0217,0.0407,1.68,0.0,6.86e-07,4.1e-06,0.000199,0.249,0.0,4.55e-12,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.797,0.797
9,phytoplankton,1.1,0.697,0.52,0.0027,0.0217,0.0431,1.11,0.0,6.86e-07,4.1e-06,0.000177,0.195,0.0,1.06e-11,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.796,0.796
10,phytoplankton,1.5,1.77,0.807,0.0027,0.0217,0.0455,0.736,0.0,6.86e-07,4.1e-06,0.000157,0.153,0.0,2.39e-11,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.794,0.794
11,phytoplankton,2.0,4.19,1.22,0.0027,0.0217,0.0479,0.505,0.0,6.86e-07,4.1e-06,0.000141,0.123,0.0,5.11e-11,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.792,0.792
12,phytoplankton,2.7,10.3,1.88,0.0027,0.0217,0.0506,0.34,0.0,6.86e-07,4.1e-06,0.000126,0.0974,0.0,1.13e-10,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.789,0.789
13,phytoplankton,3.6,24.4,2.7,0.0027,0.0217,0.0533,0.233,0.0,6.86e-07,4.1e-06,0.000113,0.078,0.0,2.41e-10,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.786,0.786
14,phytoplankton,5.0,65.4,3.5,0.0027,0.0217,0.0565,0.152,0.0,6.86e-07,4.1e-06,9.96e-05,0.0605,0.0,5.75e-10,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.781,0.781
15,phytoplankton,6.7,157.0,3.57,0.0027,0.0217,0.0596,0.103,0.0,6.86e-07,4.1e-06,8.91e-05,0.0483,0.0,1.24e-09,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.775,0.775
16,phytoplankton,9.0,382.0,3.05,0.0027,0.0217,0.0629,0.0702,0.0,6.86e-07,4.1e-06,7.97e-05,0.0385,0.0,2.71e-09,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.767,0.767
17,phytoplankton,12.2,951.0,2.37,0.0027,0.0217,0.0664,0.0471,0.0,6.86e-07,4.1e-06,7.1e-05,0.0304,0.0,6.05e-09,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.757,0.757
18,phytoplankton,16.4,2310.0,1.82,0.0027,0.0217,0.07,0.032,0.0,6.86e-07,4.1e-06,6.35e-05,0.0242,0.0,1.32e-08,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.744,0.744
19,phytoplankton,22.2,5730.0,1.41,0.0027,0.0217,0.0739,0.0215,0.0,6.86e-07,4.1e-06,5.66e-05,0.0191,0.0,2.94e-08,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.727,0.727
20,phytoplankton,30.0,14100.0,1.12,0.0027,0.0217,0.0781,0.0145,0.0,6.86e-07,4.1e-06,5.05e-05,0.0152,0.0,6.51e-08,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.708,0.708
21,phytoplankton,40.4,34500.0,0.912,0.0027,0.0217,0.0824,0.00979,0.0,6.86e-07,4.1e-06,4.51e-05,0.0121,0.0,1.43e-07,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.685,0.685
22,phytoplankton,54.6,85200.0,0.758,0.0027,0.0217,0.087,0.0066,0.0,6.86e-07,4.1e-06,4.02e-05,0.00956,0.0,3.16e-07,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.659,0.659
23,phytoplankton,74.0,212000.0,0.64,0.0027,0.0217,0.0918,0.00443,0.0,6.86e-07,4.1e-06,3.58e-05,0.00756,0.0,7.06e-07,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.63,0.63
24,phytoplankton,100.0,524000.0,0.551,0.0027,0.0217,0.097,0.00298,0.0,6.86e-07,4.1e-06,3.2e-05,0.00599,0.0,1.56e-06,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.6,0.6
25,phytoplankton,134.0,1260000.0,0.482,0.0027,0.0217,0.102,0.00203,0.0,6.86e-07,4.1e-06,2.86e-05,0.00478,0.0,3.39e-06,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.571,0.571
26,phytoplankton,181.0,3100000.0,0.426,0.0027,0.0217,0.108,0.00137,0.0,6.86e-07,4.1e-06,2.55e-05,0.00379,0.0,7.49e-06,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.542,0.542
27,phytoplankton,245.0,7670000.0,0.38,0.0027,0.0217,0.114,0.000923,0.0,6.86e-07,4.1e-06,2.28e-05,0.003,0.0,1.66e-05,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.516,0.516
28,phytoplankton,330.0,18900000.0,0.342,0.0027,0.0217,0.12,0.000622,0.0,6.86e-07,4.1e-06,2.03e-05,0.00238,0.0,3.67e-05,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.493,0.493
29,phytoplankton,446.0,46500000.0,0.31,0.0027,0.0217,0.127,0.00042,0.0,6.86e-07,4.1e-06,1.81e-05,0.00189,0.0,8.1e-05,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.473,0.473
30,phytoplankton,624.0,127000000.0,0.28,0.0027,0.0217,0.135,0.00027,0.0,6.86e-07,4.1e-06,1.6e-05,0.00146,0.0,0.000197,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.455,0.455
31,phytoplankton,874.0,350000000.0,0.255,0.0027,0.0217,0.143,0.000174,0.0,6.86e-07,4.1e-06,1.41e-05,0.00112,0.0,0.000479,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.441,0.441
32,phytoplankton,1220.0,960000000.0,0.234,0.0027,0.0217,0.152,0.000112,0.0,6.86e-07,4.1e-06,1.24e-05,0.000866,0.0,0.00116,3.83e-07,0.0,5.0,10.0,2.0,0.0,0.0,0.05,0.43,0.43
33,zooplankton,0.15,0.00177,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,5.48e-14,3.83e-07,60.4,5.0,10.0,2.0,0.0,0.0,0.05,0.799,0.799
34,zooplankton,0.2,0.00419,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,1.17e-13,3.83e-07,52.6,5.0,10.0,2.0,0.0,0.0,0.05,0.799,0.799
35,zooplankton,0.25,0.00818,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,2.11e-13,3.83e-07,47.2,5.0,10.0,2.0,0.0,0.0,0.05,0.799,0.799
36,zooplankton,0.3,0.0141,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,3.42e-13,3.83e-07,43.3,5.0,10.0,2.0,0.0,0.0,0.05,0.799,0.799
37,zooplankton,0.45,0.0477,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,9.97e-13,3.83e-07,35.6,5.0,10.0,2.0,0.0,0.0,0.05,0.798,0.798
38,zooplankton,0.6,0.113,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,2.13e-12,3.83e-07,31.0,5.0,10.0,2.0,0.0,0.0,0.05,0.798,0.798
39,zooplankton,0.8,0.268,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,4.55e-12,3.83e-07,27.0,5.0,10.0,2.0,0.0,0.0,0.05,0.797,0.797
40,zooplankton,1.1,0.697,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,1.06e-11,3.83e-07,23.2,5.0,10.0,2.0,0.0,0.0,0.05,0.796,0.796
41,zooplankton,1.5,1.77,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,2.39e-11,3.83e-07,20.0,5.0,10.0,2.0,0.0,0.0,0.05,0.794,0.794
42,zooplankton,2.0,4.19,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,5.11e-11,3.83e-07,17.4,5.0,10.0,2.0,0.0,0.0,0.05,0.792,0.792
43,zooplankton,2.7,10.3,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,1.13e-10,3.83e-07,15.1,5.0,10.0,2.0,0.0,0.0,0.05,0.789,0.789
44,zooplankton,3.6,24.4,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,2.41e-10,3.83e-07,13.1,5.0,10.0,2.0,0.0,0.0,0.05,0.786,0.786
45,zooplankton,5.0,65.4,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,5.75e-10,3.83e-07,11.2,5.0,10.0,2.0,0.0,0.0,0.05,0.781,0.781
46,zooplankton,6.7,157.0,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,1.24e-09,3.83e-07,9.75,5.0,10.0,2.0,0.0,0.0,0.05,0.775,0.775
47,zooplankton,9.0,382.0,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,2.71e-09,3.83e-07,8.46,5.0,10.0,2.0,0.0,0.0,0.05,0.767,0.767
48,zooplankton,12.2,951.0,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,6.05e-09,3.83e-07,7.31,5.0,10.0,2.0,0.0,0.0,0.05,0.757,0.757
49,zooplankton,16.4,2310.0,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,1.32e-08,3.83e-07,6.34,5.0,10.0,2.0,0.0,0.0,0.05,0.744,0.744
50,zooplankton,22.2,5730.0,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,2.94e-08,3.83e-07,5.48,5.0,10.0,2.0,0.0,0.0,0.05,0.727,0.727
51,zooplankton,30.0,14100.0,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,6.51e-08,3.83e-07,4.75,5.0,10.0,2.0,0.0,0.0,0.05,0.708,0.708
52,zooplankton,40.4,34500.0,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,1.43e-07,3.83e-07,4.11,5.0,10.0,2.0,0.0,0.0,0.05,0.685,0.685
53,zooplankton,54.6,85200.0,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,3.16e-07,3.83e-07,3.56,5.0,10.0,2.0,0.0,0.0,0.05,0.659,0.659
54,zooplankton,74.0,212000.0,0.0,0.0027,0.0217,0.0,0.0,0.0,6.86e-07,4.1e-06,0.0,0.0,0.0,7.06e-07,3.83e-07,3.08,5.0,10.0,2.0,0.0,0.0,0.05,0.63,0.63
