locality,age_ma,lat,lon,paleolat_hinsbergen2015,environment
"White Sea, Moseevskoe site",0.006,66.56,34.96,66.56,Shallow shelf
"White Sea, Olenitsa",0.006,66.47,35.32,66.47,Shallow shelf
"White Sea coast, Kashkarantsy",0.006,66.339345,36.009534,66.339345,Shallow shelf
"White Sea, Kuzreka site",0.006,66.6,34.82,66.6,Shallow shelf
"Saanich Inlet, ODP Leg 169, site 1034",0.01,48.65,-123.499972,48.65,Deep shelf
"Saanich Inlet, ODP Leg 169, site 1033",0.01,48.590639,-123.503333,48.590639,Deep shelf
"Lake Lacar, Argentine",0.01,-40.164,-71.495,-40.164,Lake
"Laptev Sea, PS51/154-11 site",0.014,77.2593,120.6098,77.2593,Shelf
"Sea of Japan, core PC1803",0.014,38.321333,138.785867,38.321333,Deep shelf
"Sea of Japan, core PC1805",0.014,38.320433,138.77435,38.320433,Deep shelf
"Mega settlement, Western Siberia",0.015,60.984198,76.355485,60.984198,Nonmarine?
"Laguna Lejía, Chile ",0.02,-23.5,-67.7,-23.5,Lacustrine
"Sea of Japan, core MD179-3325",0.02,38.275333,137.917333,38.275333,Abyssal
"Sea of Japan, core PC1105",0.02,38.1245,138.0595,38.1245,Abyssal
"Sea of Japan, core PC1121",0.02,38.146667,138.072333,38.146667,Abyssal
"Sea of Japan, core PC1122",0.02,38.186667,138.065667,38.186667,Abyssal
"Sea of Japan, core PC1718",0.02,38.1465,138.036,38.1465,Abyssal
"Bystraya river, Byrranga Mts",0.02,72.74615,84.21363,72.74615,Shallow shelf
GeoB 2809 site,0.025,-51.52,-36.33,-51.52,Abyssal
"Victoria Cave, Bashkiria, Russia",0.025,53.044,57.064,53.044,Cave
"Woody Cow, Newfoundland",0.03,47.859,-59.366,47.859,Shallow shelf to intertidal
Lipatnikovsky Island,0.04,68.37,86.311,68.37,Shallow shelf to intertidal
"Sarichef Island, Alaska",0.1,66.25599,-166.07665,66.25599,Shallow shelf
"Cape Prince of Wales, Alaska",0.1,65.5964,-168.09347,65.5964,Shallow shelf
"Terpeniya Bay, Sakhalin, site 8013",0.1,48.93,143.7,48.93,Shallow shelf
"Sea of Okhotsk, site 82156",0.1,53.905,144.0,53.905,Deep shelf
"Sea of Japan, site 89102",0.1,39.286,128.118,39.286,Deep shelf
"Obersdorf, Sangerhausen (Germany)",0.1,51.521,11.323,51.521,Alluvual to intertidal
"Bolshaya Balakhnya river, Aragonitovoe locality",0.1,73.52587,101.52587,73.52587,Shallow shelf to intertidal
"Bolshaya Balakhnya river, upstream from Nyukuda river mouth (Snezhnoe locality)",0.1,73.5293,101.0031,73.5293,Shallow shelf to intertidal
"Pay-Khoy, Russia",0.1,69,63.0,69,Shallow shelf to intertidal
"Jarrow Slake, UK",0.1,54.98,-1.472,54.98,Shallow shelf to intertidal
"Bobeldijk, Netherlands",0.1,52.65,4.99,52.65,Shallow shelf to intertidal
"Mono Lake, Ca, USA",0.1,38,-119.0,38,Lacustrine
"Pechora region, Russia",0.1,66,52.0,66,Lacustrine to intertidal
"Sea of Okhotsk, LV29-104 site",0.1,53.2141,146.2607,53.2141,Abyssal
"Sea of Okhotsk, site So178-78",0.1,54.0698,146.3002,54.0698,Abyssal
"Luts-Yag river, Siberia",0.1,71.708,73.5,71.708,Shallow shelf to intertidal
"Shokalsky Island, Kara Sea (formerly Agnessa Island)",0.1,72.966,74.45,72.966,Shallow shelf to intertidal
White sea,0.1,64.93,39.5,64.93,Shallow shelf
Spitsbergen,0.1,78,15.0,78,Shallow shelf
"Sea of Okhotsk, site TWL16-1",0.1,54.3733,143.9916,54.3733,Abyssal
"Sea of Okhotsk, site TWL16-2",0.1,54.3716,143.9833,54.3716,Abyssal
Dolný Harmanec (Slovakia),0.1,48.83,19.036,48.83,Cave
Winnemucca Dry Lake,0.1,39.947569,-119.387002,39.947569,Lacustrine
"Pyramid Lake. Nevada, US",0.1,40.05,-119.56,40.05,Lacustrine
"Zaire Fan, core T78-30",0.1,-5.99,9.943,-5.99,Abyssal
"Zaire Fan, core T78-34",0.1,-6.825,7.79,-6.825,Abyssal
Novaya Zemlya,0.1,73,55.0,73,Shallow shelf to intertidal
"Lahontan lake, USA",0.1,39.402,-119.113,39.402,Lacustrine
"Sea of Okhotsk, site LV27-3-3",0.1,54.41,145.126,54.41,Abyssal
"Genzan, Korea",0.1,39.152,127.443,39.152,Abyssal?
"Durham, UK",0.1,54.775231,-1.578718,54.77,Shallow shelf to intertidal
"Dollard, Netherlands",0.1,53.24,7.16,53.24,Shallow shelf to intertidal
"Onderdendam, Netherlands",0.1,53.335,6.576,53.335,Shallow shelf to intertidal
"Avenhorn, Netherlands",0.1,52.624,5.015,52.624,Shallow shelf to intertidal
"Lavrentiya Bay, Chukotka, Russia",0.1,65.603,-170.625,65.603,Shallow shelf to intertidal
Searles Lake,0.1,35.739,-117.377,35.739,Lacustrine
"Tönning, Kating (Germany)",0.1,54.325,8.872,54.325,Shallow shelf to intertidal
"West Paterson, NJ, USA",0.1,40.88,-74.18,40.88,Unclear
Bay of Fundy,0.1,45,-65.75,45,Shallow shelf to intertidal
"Groningen, Netherlands",0.1,53.23,6.59,53.23,Shallow shelf to intertidal
"Friesland, Netherlands",0.1,53.22,5.45,53.22,Shallow shelf to intertidal
"Zaire Fan, cores GeoB 1401-4, 4914-3",0.1,-6.933,9.0,-6.933,Abyssal
"Place de la République, Paris",0.1,48.867723,2.363632,48.867723,Unclear
"Nordstrand, Germany",0.1,54.5177,8.8558,54.5177,Shallow shelf to intertidal
"Gydan Bay, Western Siberia",0.1,71.277722,77.611889,71.277722,Shallow shelf
Agapa river,0.1,71.65211,88.2892,71.65211,Shallow shelf
"Salor Creek, Ellsmere Island",0.1,81.781,-68.605,81.781,no data
"Beaufort Sea, Core 13",0.1,70.944,143.05583,70.944,Abyssal
"Oplyvnoy Yar, Yenisei river",0.11,53.34,91.84,53.34,Shallow shelf to littoral
"Agapa river, Russia",0.11,71.584238,87.875871,71.584238,Shallow shelf to littoral
Ob river near Kalamanka,0.22,52.946,83.6154,52.946,Shallow shelf to littoral
"Zaire Fan, core T80-6",0.35,-8,7.988,-8,Abyssal
"Zaire Fan, core T80-7",0.35,-7,9.031,-7,Abyssal
"Zaire Fan, core T80-4",0.4,-6.14,5.031,-6.14,Abyssal
"Carter Creek, NE Alaska",3.0,69.965,-144.7532,69.965,Shallow shelf to intertidal
"Barter Island, NE Alaska",3.0,70.133,-143.676,70.133,Shallow shelf to intertidal
"Teshio-cho (loc. 84-03), Hokkaido, Japan",3.0,44.852146,141.864936,44.852146,Shallow shelf
"Manning Point, Alaska",3.0,70.118,-143.51,70.12,Shallow shelf
"Alkali Lake, Oregon, US",3.5,42.977222,-120.028056,42.977222,Lacustrine
"Akita area, Japan",3.6,39.933136,139.815043,39.933136,Shallow shelf
"Camp Creek, USA",4.3,47.401813,-124.331545,47.4,Shelf
Rosselia Cove,4.3,47.41847,-124.33693,47.41847,Shelf
"Karaginsky island, Kamchatka, Russia",5.0,57.756,163.739,57.756,Shallow shelf
"Schmidt Peninsula, Sakhalin",6.8,54.2786,142.417,54.2786,Abyssal
"Schmidt Peninsula, Sakhalin",6.8,53.99,142.6307,53.99,Abyssal
"Hokkaido, Japan",7.5,43.351,141.425194,43.351,Bathyal zone
"Aleksandrovo area, Sakhalin",8.0,50.994171,142.24599,50.994171,Shallow shelf
"Lebedinskaya 1 borehole, Sakhalin",8.0,53.2,143.2333,53.2,Shallow shelf
"Sakhalin, near Agnevo mouth",8.0,50.583812,142.050717,50.583812,Shallow shelf
"Tochio area, Niigata Prefecture, Japan",8.0,37.433975,138.990771,37.4334,Bathyal
"Yoneyama District, Niigata Prefecture, Japan",9.0,37.247619,138.581187,37.247619,Shelf
"Karaginsky island, Kamchatka, Russia",9.4,57.756,163.739,57.756,Shallow shelf
"Nishikubiki area, Japan",10.5,36.983,138.08,36.983,Shallow shelf
"Joetsu, Japan",10.5,37.113,138.078,37.113,Shallow shelf
"Daginsk area, Sakhalin",11.0,52.077,143.03,52.077,Shallow shelf
"Schmidt Peninsula, Sakhalin",11.0,54.01838,142.5911,54.01838,Abyssal
"Nishikubiki area, Japan",11.5,36.983,138.08,36.983,Shallow shelf
"Kamchatka, Okno Cape",12.0,60.250899,165.697226,60.250899,Shallow shelf
"Gavrilovskaya 2 borehole, offshore Sakhalin",12.0,49.15,141.75,49.15,Shelf
"Karaginsky island, Kamchatka, Russia",13.0,57.756,163.739,57.756,Shallow shelf
"Cape Zhonkier, Sakhalin",13.0,50.908,142.147,50.908,Shallow shelf
"Aleksandrovsk area, Sakhalin",13.0,50.994171,142.24599,50.994171,Shallow shelf
"Kavrano-Uhtolokskaya Bay, Kamchatka",13.0,57.448,157.002,57.448,Shallow shelf
Agvayam river,13.0,60.724064,169.476413,64.29,Shallow shelf
"Nagano Prefecture, central Japan",13.3,36.346,137.989,36.346,Shallow shelf
