feature,importance_mean,importance_std,cv,group
GeophysicsGravity_x_grad_std,0.18414311,8.940697e-08,4.855298e-07,STRUCTURAL
GeophysicsMag_RTP_VD_x_grad_max,0.07061002,6.7055225e-08,9.49656e-07,STRUCTURAL
GeophysicsMag_min,0.051302582,3.7252903e-09,7.261409e-08,FERTILITY
GeophysicsGravity_Up30km_y_grad_min,0.046508025,1.1175871e-08,2.4029984e-07,STRUCTURAL
Litho_Metamorphic_nearest_distance,0.029501023,0.0,0.0,PROXIMITY
ferric_iron_correlation,0.02922026,2.9802322e-08,1.0199198e-06,TEXTURE
sio2_silica_index_y_grad_std,0.025064373,2.4214387e-08,9.660879e-07,STRUCTURAL
GeophysicsGravity_Up30km_magnitude_grad_min,0.022016075,2.4214387e-08,1.0998504e-06,STRUCTURAL
Litho_Intrusive_Felsic_nearest_distance,0.02092376,1.1175871e-08,5.3412344e-07,PROXIMITY
GeophysicsMag_RTP_VD_min,0.020506969,9.313226e-09,4.541493e-07,FERTILITY
GeophysicsMag_RTP_USCanada_std,0.01635483,1.1175871e-08,6.833377e-07,FERTILITY
GeophysicsMag_y_grad_median,0.015947113,1.3038516e-08,8.176098e-07,STRUCTURAL
GeophysicsGravity_Up30km_magnitude_grad_std,0.015507787,9.313226e-09,6.005516e-07,STRUCTURAL
GeophysicsGravity_Up30km_x_grad_max,0.01535531,2.0489097e-08,1.334333e-06,STRUCTURAL
GeophysicsMag,0.015311636,1.0244548e-08,6.690695e-07,FERTILITY
GeophysicsGravity_Up30km_x_grad_min,0.013230843,5.5879354e-09,4.2234163e-07,STRUCTURAL
GeophysicsMag_RTP_VD,0.012309514,4.656613e-09,3.782938e-07,FERTILITY
Litho_Reactive_Host_nearest_distance,0.011900148,2.7939677e-09,2.3478428e-07,PROXIMITY
ferric_iron_mean,0.011618179,9.313226e-10,8.01608e-08,ALTERATION
GeophysicsMag_RTP_USCanada_magnitude_grad_min,0.011470119,4.656613e-09,4.0597774e-07,STRUCTURAL
GeophysicsMag_magnitude_grad_min,0.010667627,1.8626451e-09,1.7460727e-07,STRUCTURAL
sio2_silica_index_max,0.010379075,4.656613e-09,4.4865394e-07,ALTERATION
GeophysicsMag_RTP_USCanada_min,0.009323358,2.7939677e-09,2.9967399e-07,FERTILITY
GeophysicsGravity_Up30km_y_grad_mean,0.009170056,0.0,0.0,STRUCTURAL
sio2_silica_index,0.008950051,4.656613e-09,5.20289e-07,ALTERATION
GeophysicsMag_homogeneity,0.008924187,3.7252903e-09,4.174375e-07,TEXTURE
GeophysicsMag_x_grad_min,0.0087723695,6.519258e-09,7.431582e-07,STRUCTURAL
ferric_iron_y_grad_max,0.008316145,7.450581e-09,8.9591754e-07,STRUCTURAL
Faults_Extensional_nearest_distance,0.008227583,5.5879354e-09,6.7917097e-07,PROXIMITY
GeophysicsMag_y_grad_mean,0.007857607,2.7939677e-09,3.555749e-07,STRUCTURAL
GeophysicsMag_ASM,0.007821556,4.656613e-09,5.953563e-07,TEXTURE
Faults_Compressional_nearest_distance,0.0071953936,5.122274e-09,7.118824e-07,PROXIMITY
GeophysicsGravity_contrast,0.006923676,2.7939677e-09,4.035382e-07,TEXTURE
GeophysicsGravity_y_grad_min,0.0068974113,5.122274e-09,7.426372e-07,STRUCTURAL
hydrothermal_alteration_x_grad_min,0.006572842,0.0,0.0,STRUCTURAL
GeophysicsMag_x_grad_std,0.0064977594,1.8626451e-09,2.866596e-07,STRUCTURAL
GeophysicsMag_RTP_USCanada_contrast,0.006214182,1.8626451e-09,2.99741e-07,TEXTURE
GeophysicsGravity_Up30km_y_grad_max,0.006185706,6.0535967e-09,9.786429e-07,STRUCTURAL
GeophysicsGravity_x_grad_min,0.006094491,3.7252903e-09,6.1125536e-07,STRUCTURAL
ferric_iron_min,0.005989192,3.7252903e-09,6.220021e-07,ALTERATION
Litho_Mafic_Ultramafic_nearest_distance,0.0056763883,2.3283064e-09,4.1017393e-07,PROXIMITY
GeophysicsMag_RTP_USCanada_mean,0.005128203,5.122274e-09,9.988439e-07,FERTILITY
ferric_iron_dissimilarity,0.005018472,2.3283064e-09,4.6394726e-07,TEXTURE
GeophysicsGravity_Up30km_ASM,0.00493023,3.7252903e-09,7.556018e-07,TEXTURE
GeophysicsGravity_dissimilarity,0.00467033,5.122274e-09,1.0967692e-06,TEXTURE
GeophysicsGravity_y_grad_max,0.004597046,6.519258e-09,1.4181408e-06,STRUCTURAL
ferrous_iron_min,0.0044144774,6.0535967e-09,1.3713054e-06,ALTERATION
GeophysicsGravity_Up30km_min,0.0043658977,2.3283064e-09,5.3329387e-07,FERTILITY
hydrothermal_alteration_y_grad_std,0.004267067,1.3969839e-09,3.2738737e-07,STRUCTURAL
ferric_iron_x_grad_max,0.0041741044,4.1909516e-09,1.0040361e-06,STRUCTURAL
ferrous_iron_std,0.004013472,9.313226e-10,2.3204912e-07,ALTERATION
GeophysicsGravity_magnitude_grad_mean,0.0039315815,2.7939677e-09,7.1064727e-07,STRUCTURAL
GeophysicsMag_RTP_HGM_dissimilarity,0.003919124,2.3283064e-09,5.940885e-07,TEXTURE
hydrothermal_alteration_min,0.0039006548,2.7939677e-09,7.162817e-07,ALTERATION
Faults_nearest_distance,0.0038608813,3.4924597e-09,9.0457576e-07,PROXIMITY
ferrous_iron_correlation,0.003843913,5.122274e-09,1.3325676e-06,TEXTURE
ferrous_iron_y_grad_min,0.0037950354,1.8626451e-09,4.9081103e-07,STRUCTURAL
GeophysicsMag_RTP_USCanada_y_grad_mean,0.003610172,1.1641532e-09,3.2246476e-07,STRUCTURAL
GeophysicsMag_median,0.0035987177,3.0267984e-09,8.410769e-07,FERTILITY
al2o3_laterite_argilic_min,0.0035444198,6.9849193e-10,1.9706806e-07,ALTERATION
GeophysicsMag_dissimilarity,0.0034663351,3.7252903e-09,1.0747058e-06,TEXTURE
ferrous_iron_contrast,0.0032493954,2.0954758e-09,6.4488177e-07,TEXTURE
GeophysicsGravity_magnitude_grad_std,0.0031827681,1.6298145e-09,5.120745e-07,STRUCTURAL
ferrous_iron_x_grad_min,0.0030702234,1.1641532e-09,3.7917542e-07,STRUCTURAL
GeophysicsGravity_Up30km_HGM_contrast,0.0030333688,2.561137e-09,8.44321e-07,TEXTURE
GeophysicsGravity_std,0.0029861832,9.313226e-10,3.1187724e-07,FERTILITY
GeophysicsGravity_Up30km_contrast,0.0029365325,1.6298145e-09,5.550133e-07,TEXTURE
GeophysicsGravity_x_grad_max,0.0029225177,2.0954758e-09,7.170105e-07,STRUCTURAL
ferrous_iron,0.0027255525,9.313226e-10,3.4170046e-07,ALTERATION
GeophysicsMag_RTP_VD_dissimilarity,0.0026916394,6.9849193e-10,2.5950428e-07,TEXTURE
sio2_silica_index_std,0.0026704178,2.7939677e-09,1.0462661e-06,ALTERATION
sio2_silica_index_y_grad_min,0.002667438,1.3969839e-09,5.2371746e-07,STRUCTURAL
GeophysicsMag_RTP_USCanada_dissimilarity,0.0025445817,1.3969839e-09,5.4900335e-07,TEXTURE
ferrous_iron_y_grad_max,0.0025247345,1.3969839e-09,5.533191e-07,STRUCTURAL
hydrothermal_alteration_dissimilarity,0.0024560725,2.3283064e-09,9.479795e-07,TEXTURE
Geologic_contacts_nearest_distance,0.0021746191,1.3969839e-09,6.424039e-07,PROXIMITY
GeophysicsGravity_Up30km_x_grad_median,0.0021105215,2.3283064e-09,1.1031901e-06,STRUCTURAL
GeophysicsMag_correlation,0.0020505602,6.9849193e-10,3.406347e-07,TEXTURE
GeophysicsGravity_y_grad_mean,0.0020477884,1.1641532e-09,5.6849296e-07,STRUCTURAL
GeophysicsMag_x_grad_median,0.0019604263,9.313226e-10,4.7506126e-07,STRUCTURAL
GeophysicsMag_max,0.001956533,1.1641532e-09,5.9500826e-07,FERTILITY
sio2_silica_index_median,0.0019337991,1.2805685e-09,6.6220343e-07,ALTERATION
GeophysicsMag_RTP_HGM_homogeneity,0.0018355711,2.3283064e-09,1.268437e-06,TEXTURE
GeophysicsMag_RTP_USCanada_x_grad_median,0.0017694931,6.9849193e-10,3.9474122e-07,STRUCTURAL
ferrous_iron_dissimilarity,0.0017227371,1.0477379e-09,6.0818206e-07,TEXTURE
hydrothermal_alteration,0.0016872571,2.2118911e-09,1.310939e-06,ALTERATION
GeophysicsGravity_Up30km_dissimilarity,0.0016362461,1.2805685e-09,7.826258e-07,TEXTURE
hydrothermal_alteration_contrast,0.0016255974,2.3283064e-10,1.4322774e-07,TEXTURE
ferric_iron_max,0.0016232728,6.9849193e-10,4.302985e-07,ALTERATION
GeophysicsMag_RTP_HGM_correlation,0.0015554073,3.4924597e-10,2.2453665e-07,TEXTURE
GeophysicsGravity_x_grad_mean,0.0015495179,1.1641532e-10,7.5130025e-08,STRUCTURAL
GeophysicsMag_RTP_VD_homogeneity,0.0014970363,9.313226e-10,6.221108e-07,TEXTURE
al2o3_laterite_argilic_y_grad_min,0.0014356081,1.0477379e-09,7.298216e-07,STRUCTURAL
GeophysicsGravity_magnitude_grad_max,0.0014099015,1.1641532e-09,8.256982e-07,STRUCTURAL
ferric_iron_contrast,0.0013916132,3.4924597e-10,2.509648e-07,TEXTURE
GeophysicsGravity_Up30km_correlation,0.0013860314,2.3283064e-10,1.6798366e-07,TEXTURE
sio2_silica_index_y_grad_max,0.0013645007,1.2805685e-09,9.3848865e-07,STRUCTURAL
GeophysicsGravity_correlation,0.0013633086,1.1641532e-09,8.539175e-07,TEXTURE
GeophysicsMag_RTP_HGM_contrast,0.0013415909,6.9849193e-10,5.2064445e-07,TEXTURE
GeophysicsMag_RTP_USCanada,0.0013409773,0.0,0.0,FERTILITY
GeophysicsGravity_Up30km_magnitude_grad_max,0.0013106097,1.1641532e-10,8.88253e-08,STRUCTURAL
GeophysicsGravity_Up30km_HGM_dissimilarity,0.0012853757,6.9849193e-10,5.4341456e-07,TEXTURE
al2o3_alteration_median,0.0012641639,4.656613e-10,3.6835513e-07,ALTERATION
GeophysicsGravity_HGM_dissimilarity,0.0012538523,4.656613e-10,3.7138446e-07,TEXTURE
ferric_iron_magnitude_grad_max,0.0012481962,9.313226e-10,7.461347e-07,STRUCTURAL
ferric_iron_x_grad_min,0.0012439941,9.313226e-10,7.4865505e-07,STRUCTURAL
GeophysicsGravity_y_grad_std,0.0012244434,8.1490725e-10,6.6553275e-07,STRUCTURAL
GeophysicsGravity_HGM_correlation,0.0012163684,9.313226e-10,7.656582e-07,TEXTURE
Litho_Intrusive_Alkaline_nearest_distance,0.0011989862,4.656613e-10,3.8837916e-07,PROXIMITY
GeophysicsMag_contrast,0.0011519938,8.1490725e-10,7.0738855e-07,TEXTURE
sio2_silica_index_x_grad_min,0.0011429637,4.656613e-10,4.0741563e-07,STRUCTURAL
ferrous_iron_x_grad_max,0.001141334,9.313226e-10,8.159947e-07,STRUCTURAL
al2o3_laterite_argilic_x_grad_max,0.0011162008,1.3969839e-09,1.2515524e-06,STRUCTURAL
hydrothermal_alteration_median,0.0011063595,1.2805685e-09,1.1574614e-06,ALTERATION
ferrous_iron_max,0.0010992757,1.5133992e-09,1.3767238e-06,ALTERATION
sio2_silica_index_contrast,0.0010719524,3.4924597e-10,3.2580357e-07,TEXTURE
ferrous_iron_median,0.001058338,8.1490725e-10,7.6998765e-07,ALTERATION
al2o3_alteration,0.0010066474,9.313226e-10,9.251725e-07,ALTERATION
ferric_iron,0.0010002198,4.656613e-10,4.6555888e-07,ALTERATION
GeophysicsGravity_HGM_contrast,0.0009173359,5.820766e-11,6.345293e-08,TEXTURE
Faults_Strike_Slip_nearest_distance,0.00090044184,1.7462298e-10,1.939303e-07,PROXIMITY
hydrothermal_alteration_y_grad_min,0.0008410437,4.0745363e-10,4.844618e-07,STRUCTURAL
GeophysicsMag_RTP_USCanada_y_grad_median,0.0008135683,5.820766e-11,7.154612e-08,STRUCTURAL
GeophysicsGravity_Up30km_y_grad_std,0.00079688453,4.656613e-10,5.8435216e-07,STRUCTURAL
al2o3_laterite_argilic_y_grad_max,0.000777282,3.4924597e-10,4.4931687e-07,STRUCTURAL
ferrous_iron_magnitude_grad_max,0.0007757247,0.0,0.0,STRUCTURAL
al2o3_laterite_argilic_max,0.0007123791,2.910383e-10,4.0854405e-07,ALTERATION
GeophysicsGravity_Up30km_x_grad_std,0.00067927665,4.656613e-10,6.855251e-07,STRUCTURAL
sio2_silica_index_x_grad_max,0.0006595438,1.1641532e-10,1.7650883e-07,STRUCTURAL
sio2_silica_index_dissimilarity,0.00061592436,5.2386895e-10,8.5054086e-07,TEXTURE
al2o3_alteration_dissimilarity,0.0005987838,4.0745363e-10,6.804686e-07,TEXTURE
GeophysicsGravity_Up30km_HGM_correlation,0.0005320608,2.3283064e-10,4.3760147e-07,TEXTURE
GeophysicsMag_RTP_USCanada_x_grad_mean,0.00051010033,3.4924597e-10,6.8466113e-07,STRUCTURAL
sio2_silica_index_correlation,0.0005055961,5.820766e-10,1.1512677e-06,TEXTURE
hydrothermal_alteration_correlation,0.0003844649,1.1641532e-10,3.0279824e-07,TEXTURE
GeophysicsGravity_Up30km_magnitude_grad_median,0.00036269586,2.0372681e-10,5.6170137e-07,STRUCTURAL
GeophysicsMag_RTP_VD_contrast,0.00032517078,2.3283064e-10,7.160255e-07,TEXTURE
sio2_silica_index_min,0.00021067765,8.731149e-11,4.1443147e-07,ALTERATION
