unit_id,section_id,col_id,project_id,col_area,unit_name,strat_name_id,Mbr,Fm,Gp,SGp,t_age,b_age,max_thick,min_thick,outcrop,pbdb_collections,pbdb_occurrences
39075,10261,1704,8,21310.674,unnamed,,,,,,143.1,4031.0,0.0,0.0,,0,0
39067,10258,1703,8,27006.018,unnamed,,,,,,143.1,4031.0,0.0,0.0,,0,0
39509,10425,1725,8,38500.148,unnamed,,,,,,201.4,538.8,0.0,0.0,,0,0
39508,10424,1724,8,44573.324,unnamed,,,,,,201.4,538.8,0.0,0.0,,0,0
34280,8529,1484,1,21183.588,Nisutlin Allochthon,9455.0,,Nisutlin Allochthon,,,211.1,616.6,1875.0,0.0,,0,0
4790,1007,122,1,6514.512,Unnamed,,,,,,298.9,635.0,0.0,0.0,subsurface,0,0
5128,1189,143,1,18340.184,Unnamed,,,,,,298.9,635.0,0.0,0.0,subsurface,0,0
5783,1348,167,1,23758.977,Frontal Ouachita Facies,,,,,,312.0,471.3,8000.0,0.0,,0,0
5805,1355,168,1,28588.275,Frontal Ouachita Facies,,,,,,312.0,471.609,3000.0,0.0,,0,0
5806,1355,168,1,28588.275,Interior Ouachita Facies,,,,,,312.0,471.609,3000.0,0.0,,0,0
25759,7400,1247,7,57292.594,Omoa Fm,9134.0,,Omoa,,,313.6666,478.7251,0.0,0.0,,0,0
34160,8468,1478,1,19764.262,Nisutlin Allochthon,9455.0,,Nisutlin Allochthon,,,322.3,798.1323,1875.0,0.0,,0,0
4711,942,118,1,4235.745,Unnamed,,,,,,323.4,635.0,0.0,0.0,subsurface,0,0
4709,941,117,1,3397.813,Unnamed,,,,,,323.4,635.0,0.0,0.0,subsurface,0,0
16335,4280,520,1,37427.555,Unnamed,,,,,,323.4,471.3,2954.0,0.0,subsurface,0,0
41526,11457,2142,10,5375.774,Mid Paleozoic Carbonates,,,,,,323.4,447.475,735.0,0.0,,0,0
25737,7398,1243,7,35744.602,Las Ovejas Fm,9121.0,,Las Ovejas,,,342.6,479.5375,0.0,0.0,,0,0
2143,342,59,1,24602.332,Caballos Novaculite,4966.0,,Caballos Novaculite,,,343.5,443.1,200.0,65.0,surface,1,14
5784,1348,167,1,23758.977,Interior Ouachita Facies,,,,,,343.5,471.3,2950.0,0.0,,0,0
33095,7735,1427,1,149543.047,unnamed,,,,,,349.995,454.0375,0.0,0.0,,0,0
33289,7757,1423,1,125837.57,unnamed,,,,,,349.995,454.0375,0.0,0.0,,0,0
33216,7750,1419,1,88914.781,unnamed,,,,,,349.995,454.0375,0.0,0.0,,0,0
33325,7761,1425,1,39680.988,unnamed,,,,,,349.995,454.0375,0.0,0.0,,0,0
34492,8619,1492,1,22184.869,lower Eagle Bay Fm,9629.0,,Eagle Bay,,,355.82,517.95,1000.0,1000.0,,0,0
5040,1149,138,1,5244.604,Basement,,,,,,358.86,635.0,0.0,0.0,subsurface,0,0
40762,11106,2098,10,118.626,Newbury Volcanics Complex,7538.0,,Newbury Volcanics Complex,,,358.86,482.475,0.0,0.0,,0,0
40766,11109,2099,10,25.452,Newbury Volcanics Complex,7538.0,,Newbury Volcanics Complex,,,358.86,486.85,0.0,0.0,,0,0
6784,1719,247,1,10635.517,Shoo Fly Complex,,,,,,358.86,471.609,4000.0,0.0,surface,0,0
34510,8629,1493,1,12013.19,Snowshoe,8175.0,,,Snowshoe,,358.86,495.725,1000.0,1000.0,,0,0
4793,1010,123,1,3910.507,Unnamed,,,,,,358.86,635.0,0.0,0.0,subsurface,0,0
4819,1036,124,1,15681.1,Unnamed,,,,,,358.86,635.0,0.0,0.0,subsurface,0,0
4832,1049,125,1,7766.896,Unnamed,,,,,,358.86,635.0,0.0,0.0,subsurface,0,0
4835,1052,126,1,9752.781,Unnamed,,,,,,358.86,635.0,0.0,0.0,subsurface,0,0
4871,1069,128,1,12473.948,Unnamed,,,,,,358.86,635.0,0.0,0.0,subsurface,0,0
4677,919,116,1,6085.936,Fredricksburg Complex,62468.0,,,,Fredericksburg Complex,358.86,586.9,0.0,0.0,surface,0,0
4885,1083,129,1,3465.405,Metamorphic Complex,,,,,,358.86,635.0,0.0,0.0,both,0,0
25918,7565,1279,7,52792.59,unnamed,,,,,,358.86,484.4125,0.0,0.0,,0,0
4928,1101,130,1,5799.331,Metamorphic Complex,,,,,,358.86,635.0,0.0,0.0,both,0,0
4953,1110,131,1,3300.681,Metamorphic Complex,,,,,,358.86,635.0,0.0,0.0,both,0,0
4675,917,115,1,4926.812,Metamorphic Complex,,,,,,358.86,635.0,0.0,0.0,both,0,0
4594,886,113,1,5619.23,Fredricksburg Complex,,,,,,358.86,586.9,0.0,0.0,both,0,0
41561,11498,2150,10,30080.023,Lardeau,8254.0,,,Lardeau,,358.86,536.02,4212.0,0.0,,0,0
5014,1140,137,1,4412.998,Basement,,,,,,358.86,635.0,0.0,0.0,subsurface,0,0
4560,865,34,1,32244.674,Basement,,,,,,358.86,1000.0,150.0,0.0,,0,0
5132,1192,144,1,23748.953,Unnamed,,,,,,358.86,586.9,0.0,0.0,subsurface,0,0
5179,1219,146,1,27317.842,Unnamed,,,,,,358.86,635.0,0.0,0.0,subsurface,0,0
5054,1156,139,1,8600.509,Basement,,,,,,358.86,586.9,0.0,0.0,subsurface,0,0
41568,11506,2155,10,7016.903,Macdonald Platform,,,,,,358.86,443.1,0.0,0.0,,0,0
5069,1164,140,1,4993.245,Wissahickon Fm,2325.0,,Wissahickon,Glenarm,Glenarm Terrane,358.86,635.0,0.0,0.0,subsurface,0,0
5149,1205,145,1,19088.426,Unnamed,,,,,,358.86,538.8,0.0,0.0,,0,0
4564,869,111,1,17274.451,Basement,,,,,,358.86,1000.0,150.0,0.0,subsurface,0,0
4965,1116,132,1,6998.652,Metamorphic Complex,,,,,,358.86,635.0,0.0,0.0,both,0,0
40228,10756,2027,10,136.344,Simmons Brook Batholith,102490.0,,Simmons Brook Batholith,,,358.86,1000.0,0.0,0.0,,0,0
4975,1121,133,1,2147.793,Basement,,,,,,358.86,635.0,0.0,0.0,subsurface,0,0
4614,901,114,1,4579.002,Metamorphic Complex,,,,,,358.86,635.0,0.0,0.0,both,0,0
4984,1126,134,1,1854.219,Basement,,,,,,358.86,635.0,0.0,0.0,subsurface,0,0
40227,10755,2026,10,20.389,Powder Horn Diorite Complex,102489.0,,Powder Horn Diorite Complex,,,358.86,1000.0,0.0,0.0,,0,0
4997,1132,135,1,944.098,Basement,,,,,,358.86,635.0,0.0,0.0,subsurface,0,0
40226,10754,2025,10,32.704,Louil Hills Granite,102488.0,,Louil Hills Granite,,,358.86,635.0,0.0,0.0,,0,0
5011,1138,136,1,2139.553,Basement,,,,,,358.86,512.825,0.0,0.0,subsurface,0,0
