unit_id,section_id,col_id,project_id,col_area,unit_name,strat_name_id,Mbr,Fm,Gp,SGp,t_age,b_age,max_thick,min_thick,outcrop,pbdb_collections,pbdb_occurrences
34160,8468,1478,1,19764.262,Nisutlin Allochthon,9455.0,,Nisutlin Allochthon,,,322.3,798.1323,1875.0,0.0,,0,0
34492,8619,1492,1,22184.869,lower Eagle Bay Fm,9629.0,,Eagle Bay,,,355.82,517.95,1000.0,1000.0,,0,0
4819,1036,124,1,15681.1,Unnamed,,,,,,358.86,635.0,0.0,0.0,subsurface,0,0
34510,8629,1493,1,12013.19,Snowshoe,8175.0,,,Snowshoe,,358.86,495.725,1000.0,1000.0,,0,0
34162,8468,1478,1,19764.262,unnamed,,,,,,379.77,491.5583,1000.0,1000.0,,0,0
34282,8534,1484,1,21183.588,Niasina Fm,9602.0,,Niasina,,,379.77,491.0875,1000.0,500.0,,0,0
38480,10003,1672,1,25621.615,Upper Road River Fm,1749.0,,Road River,,,386.54,475.2696,1000.0,1000.0,,3,72
10747,2834,395,1,21481.9,Unnamed,,,,,,389.33,562.85,3000.0,2000.0,surface,0,0
33478,8112,1442,1,14164.106,unnamed,,,,,,392.09,484.4125,0.0,0.0,,0,0
38188,9876,1657,1,30825.119,Upper Road River Fm,1749.0,,Road River,,,392.228,484.4125,1000.0,1000.0,,0,0
34070,8441,1473,1,18083.461,unnamed,,,,,,414.67,479.5375,0.0,0.0,,0,0
37520,9620,1646,1,14193.119,unnamed,,,,,,417.97,486.85,0.0,0.0,,0,0
17323,4447,538,1,36699.453,Unnamed,,,,,,419.62,486.85,0.0,0.0,,3,25
40216,10743,2015,10,18.859,Rogerson Lake Conglomerate,102479.0,,Rogerson Lake Conglomerate,,,419.62,486.85,0.0,0.0,,0,0
40214,10742,2014,10,42.591,Rogerson Lake Conglomerate,102479.0,,Rogerson Lake Conglomerate,,,419.62,486.85,0.0,0.0,,0,0
41535,11462,2144,10,3345.595,Ordovician-Silurian Carbonates,,,,,,419.62,477.1,2500.0,0.0,,0,0
41281,11369,2178,10,17385.645,Hazen,9762.0,,Hazen,,,419.62,501.0,595.0,200.0,,0,0
38187,9876,1657,1,30825.119,unnamed,,,,,,423.7,497.85,0.0,0.0,,0,0
34189,8488,1480,1,16456.617,Duo Lake,9558.0,,Duo Lake,Road River,,425.7,477.1,300.0,300.0,,0,0
