age,net_rotation_median_deg_per_myr,net_rotation_mad_deg_per_myr,trench_migration_mean_mm_per_yr,trench_migration_median_mm_per_yr,trench_migration_mad_mm_per_yr,percent_trenches_retreating
5,0.0000,0.0000,4.9999,4.2708,14.6460,57.6300
10,0.0000,0.0000,5.7400,6.3865,14.4478,60.9756
15,0.0000,0.0000,6.7488,10.7920,12.8162,66.7535
20,0.0000,0.0000,11.5336,10.9594,13.9599,67.8952
25,0.0000,0.0000,12.6910,12.5163,13.8143,69.8214
30,0.0000,0.0000,10.4781,11.1432,19.2313,63.2000
35,0.0000,0.0000,9.7025,11.4947,15.3721,66.0925
40,0.0000,0.0000,15.8553,12.7814,13.5475,72.3018
45,0.0000,0.0000,9.7440,7.5149,11.3248,67.7203
50,0.0000,0.0000,12.5533,9.9911,14.5291,67.2862
55,0.0000,0.0000,8.5131,9.9771,17.1188,66.2605
60,0.0000,0.0000,7.0712,9.4141,18.4645,60.8247
65,0.0000,0.0000,8.3190,12.7084,19.9433,60.5714
70,0.0000,0.0000,11.2750,13.6497,15.5953,68.8811
75,0.0000,0.0000,10.1815,14.1245,20.3788,66.4225
80,0.0000,0.0000,3.4993,7.1709,26.6665,53.3860
85,0.0000,0.0000,2.1781,6.1803,29.5035,54.0929
90,0.0000,0.0000,8.5919,7.8553,22.7003,57.3227
95,0.0000,0.0000,14.2279,10.7058,16.7250,72.2286
100,0.0000,0.0000,16.4064,15.7078,16.4740,78.0931
105,0.0000,0.0000,22.4715,28.4983,16.7812,77.6362
110,0.0000,0.0000,23.2108,28.9232,16.7182,79.4755
115,0.0000,0.0000,22.9154,24.1930,18.5429,79.7035
120,0.0000,0.0000,20.5645,22.6051,18.4766,75.3846
125,0.0000,0.0000,16.3898,10.9784,13.7279,76.1960
130,0.0000,0.0000,12.1351,11.0770,27.1160,59.9051
135,0.0000,0.0000,10.1672,5.6562,19.0365,55.0406
140,0.0000,0.0000,14.0760,8.3801,12.7116,70.4348
145,0.0000,0.0000,13.4763,10.3059,20.0391,63.9201
150,0.0000,0.0000,8.9877,1.5959,12.5702,51.1421
155,0.0000,0.0000,7.6591,1.2888,14.0880,54.6855
160,0.0000,0.0000,4.2962,-0.1006,18.7486,49.8715
165,0.0000,0.0000,0.6921,-0.8363,17.8505,47.6987
170,0.0000,0.0000,1.8344,-4.3344,8.3060,41.4226
175,0.0000,0.0000,4.7528,8.6197,9.4777,62.1234
180,0.0000,0.0000,2.9816,7.5480,11.2014,58.9816
185,0.0000,0.0000,3.7622,2.2014,7.4813,58.3099
190,0.0000,0.0000,3.8783,2.3614,7.6000,59.8315
195,0.0000,0.0000,3.9974,-0.6831,10.4549,48.7603
200,0.0000,0.0000,3.7583,-1.1478,10.3693,47.6519
205,0.0000,0.0000,7.4353,3.1356,15.1470,58.8859
210,0.0000,0.0000,6.5848,1.9600,15.5877,56.3081
215,0.0000,0.0000,5.2669,0.4786,18.3416,50.5291
220,0.0000,0.0000,4.2589,-0.5914,19.0206,48.5526
225,0.0000,0.0000,1.9161,0.6240,15.3916,51.1288
230,0.0000,0.0000,2.7463,0.4925,16.8014,50.8646
235,0.0000,0.0000,4.1684,2.9284,23.3848,53.2877
240,0.0000,0.0000,5.1349,4.4127,24.3488,55.2180
245,0.0000,0.0000,6.1211,6.2968,26.1035,54.8512
250,0.0000,0.0000,5.8299,7.0574,26.3695,55.5841
255,0.0000,0.0000,0.9921,4.2392,20.7841,54.5076
260,0.0000,0.0000,7.2911,6.6436,20.4169,57.6523
265,0.0000,0.0000,4.0893,0.1260,24.2286,50.1370
270,0.0000,0.0000,-5.4187,-5.2869,23.1643,45.6873
275,0.0000,0.0000,6.9291,0.9738,20.3205,51.9685
280,0.0000,0.0000,11.6896,2.2238,25.3598,55.2632
285,0.0000,0.0000,13.0508,10.9494,13.1543,73.1411
290,0.0000,0.0000,13.1795,11.0897,12.9773,73.5250
295,0.0000,0.0000,9.2556,6.4217,12.8645,61.6766
300,0.0000,0.0000,9.4157,6.3409,13.3250,62.1257
305,0.0000,0.0000,5.8702,3.5135,27.5369,54.9249
310,0.0000,0.0000,0.4182,-1.3836,42.2449,47.7586
315,0.0000,0.0000,3.1602,4.4409,37.1256,53.3716
320,0.0000,0.0000,3.9352,3.4533,38.4309,52.2059
325,0.0000,0.0000,-3.5513,-3.9647,35.2449,48.2581
330,0.0000,0.0000,0.6795,-0.2569,38.3659,49.8003
335,0.0000,0.0000,2.2015,5.8954,31.9995,52.0805
340,0.0000,0.0000,4.6309,8.1487,34.1829,53.2609
345,0.0000,0.0000,5.5027,5.1191,21.8718,60.0924
350,0.0000,0.0000,8.7929,12.3474,20.8341,65.9325
355,0.0000,0.0000,3.8994,12.8580,31.5625,61.8209
360,0.0000,0.0000,1.4153,20.8669,35.3166,59.7070
365,0.0000,0.0000,26.6643,31.9813,32.4310,65.8802
370,0.0000,0.0000,21.6470,16.0991,29.7472,65.9476
375,0.0000,0.0000,19.7621,13.6624,17.6467,70.0901
380,0.0000,0.0000,19.0895,14.0931,16.9449,74.8673
385,0.0000,0.0000,14.5070,8.9302,35.5107,55.9758
390,0.0000,0.0000,21.1355,17.8204,37.8541,64.0138
395,0.0000,0.0000,18.5959,18.5601,21.1965,69.4006
400,0.0000,0.0000,14.1867,16.7457,24.3777,64.7504
405,0.0000,0.0000,12.0711,16.0623,31.0787,61.3050
410,0.0000,0.0000,10.2862,12.2468,31.1651,59.4225
