age,net_rotation_median_deg_per_myr,net_rotation_mad_deg_per_myr,trench_migration_mean_mm_per_yr,trench_migration_median_mm_per_yr,trench_migration_mad_mm_per_yr,percent_trenches_retreating
5,0.1036,0.0018,3.6611,3.1525,9.3308,58.0563
10,0.0853,0.0012,5.0739,6.7316,10.2600,63.5828
15,0.1767,0.0019,6.2513,5.1004,11.5253,70.3125
20,0.0801,0.0003,11.1351,8.8577,13.2728,71.5807
25,0.0802,0.0006,12.1265,12.8173,13.8463,68.4821
30,0.1153,0.0097,11.1271,10.5193,15.0401,67.4667
35,0.1271,0.0141,9.6093,9.3981,14.2852,69.6283
40,0.0892,0.0065,16.5730,12.2209,12.9037,71.5377
45,0.0737,0.0019,11.8594,8.2697,12.1862,68.2950
50,0.0683,0.0300,12.6327,9.3630,14.2506,68.0297
55,0.0809,0.0138,8.8929,9.2079,15.1649,67.2915
60,0.1020,0.0008,8.0060,7.2717,12.6122,65.7919
65,0.1304,0.0016,9.9753,6.2463,13.1129,66.0952
70,0.1547,0.0092,12.0958,9.0879,11.5547,71.4452
75,0.2052,0.0032,12.6459,10.5955,15.6074,67.3993
80,0.2051,0.0370,6.5903,11.0965,18.4319,62.8668
85,0.1394,0.0068,3.6975,6.0344,26.3741,58.0752
90,0.0761,0.0038,10.3170,6.3084,19.6130,60.0686
95,0.0797,0.0021,14.4177,11.0110,15.8899,73.2571
100,0.0797,0.0008,15.4210,13.2837,14.4150,80.0227
105,0.1299,0.0028,20.0001,23.6721,17.3178,77.1727
110,0.1599,0.0033,20.0002,21.8138,18.7030,78.5633
115,0.1590,0.0028,20.0000,16.6387,19.6884,78.1072
120,0.0927,0.0007,19.9998,18.4914,19.6212,77.3964
125,0.0553,0.0167,17.3203,11.4789,14.2134,77.0128
130,0.0725,0.0163,13.7154,13.4280,22.8913,62.5148
135,0.0861,0.0220,11.8194,8.2522,18.4290,61.8772
140,0.0913,0.0060,14.1444,8.7310,12.3109,74.6584
145,0.0804,0.0008,13.4596,8.4482,14.4322,66.5418
150,0.0996,0.0015,9.9379,2.9179,13.6549,59.7716
155,0.0685,0.0038,8.9403,1.8905,18.8216,55.1990
160,0.0799,0.0002,6.6832,2.4137,18.0074,56.2982
165,0.0857,0.0005,3.5547,0.0065,16.1201,50.0697
170,0.0654,0.0001,3.4205,1.1277,8.1758,53.6960
175,0.0800,0.0017,5.2486,6.2858,6.0374,72.5968
180,0.0873,0.0034,3.2953,6.1871,7.0995,64.6393
185,0.0801,0.0005,4.6777,1.7193,4.0691,65.6338
190,0.0800,0.0004,4.7601,2.1070,4.2318,68.6798
195,0.0800,0.0012,4.7393,-0.3446,6.0226,48.4848
200,0.0801,0.0013,4.4250,-1.4827,6.4373,47.0994
205,0.0799,0.0021,5.9208,2.0445,12.0900,55.8355
210,0.0799,0.0024,5.1475,1.4892,12.3439,56.0425
215,0.0798,0.0032,4.2400,0.3714,15.6996,50.6614
220,0.0798,0.0033,3.3061,-2.0788,15.6176,48.6842
225,0.0800,0.0033,1.2472,-1.4393,11.9494,46.7463
230,0.0799,0.0036,3.7057,0.9237,12.5507,52.4496
235,0.0796,0.0023,4.1109,4.2193,19.5426,58.0822
240,0.0796,0.0024,4.8123,5.1217,19.8237,59.4452
245,0.0796,0.0016,5.6018,6.5734,21.7107,56.2743
250,0.0797,0.0019,5.4900,6.2356,21.9542,57.2529
255,0.0795,0.0012,1.4399,1.6629,16.1755,52.4272
260,0.0799,0.0002,8.0156,3.5222,14.8285,56.1664
265,0.0807,0.0006,5.0803,1.7481,16.8779,51.5068
270,0.0789,0.0010,-6.6658,-3.7406,17.8289,45.0135
275,0.0799,0.0014,7.2492,2.3053,13.1294,56.5354
280,0.0799,0.0014,11.2799,2.1464,16.9709,56.0855
285,0.0801,0.0014,12.1479,7.2136,11.4661,70.5615
290,0.0798,0.0017,12.2186,8.1166,11.1458,70.9531
295,0.0801,0.0016,8.2176,3.8766,8.2278,63.3234
300,0.0798,0.0015,8.3187,3.8133,8.4570,63.4731
305,0.0802,0.0012,4.1070,3.5958,19.6132,57.2621
310,0.1203,0.0006,-0.0000,8.8041,36.5008,55.8621
315,0.0803,0.0009,1.3547,4.1244,30.4862,54.0890
320,0.0798,0.0008,2.2220,2.8872,31.2372,52.4510
325,0.0801,0.0039,-4.3519,-4.6814,34.0100,47.4839
330,0.0809,0.0041,0.0003,2.4739,35.0212,51.2650
335,0.0800,0.0004,0.4739,-1.7288,29.3192,48.0537
340,0.0799,0.0004,3.1521,1.0475,30.0303,50.8152
345,0.0862,0.0004,4.7640,4.5207,24.4210,59.4761
350,0.0799,0.0007,8.4712,12.0371,26.0340,59.9119
355,0.0812,0.0046,2.9680,11.3761,32.4583,59.9119
360,0.0761,0.0036,2.4785,19.6233,37.1989,63.3700
365,0.0835,0.0023,24.0541,31.1876,27.6487,67.8766
370,0.0807,0.0020,19.9648,16.9070,27.8762,65.0231
375,0.0800,0.0030,18.1468,12.2342,16.4833,73.8739
380,0.0793,0.0032,17.5632,13.4118,14.8158,75.7522
385,0.0799,0.0029,12.9737,9.3102,30.6742,57.1861
390,0.0801,0.0029,19.9846,16.2762,31.5786,65.0519
395,0.0800,0.0023,16.4247,15.3018,17.0275,72.3975
400,0.0800,0.0023,11.7944,13.4234,20.1321,65.5068
405,0.0801,0.0019,11.1881,14.5936,27.4961,61.1533
410,0.0800,0.0006,9.7363,11.0771,27.1188,59.4225
