# Phanerozoic Laurentia apparent polar wander path
# Adapted from Torsvik et al. (2012) Earth-Sci. Rev., Table S1
# South African plate (701) reference frame.
# Values are smoothed/rounded representative values for tutorial use.
# For an authoritative copy, see the GPlates pmag-data community archive
# or the Torsvik et al. (2012) supplementary materials directly.
age,pole_lat,pole_lon,A95
0,88.4,0.0,1.5
10,87.5,10.0,2.0
20,85.0,20.0,2.2
30,82.5,15.0,2.8
40,80.0,10.0,3.0
50,78.0,0.0,3.5
60,75.5,355.0,3.5
70,73.0,350.0,4.0
80,70.0,348.0,4.2
90,68.0,345.0,4.5
100,66.0,340.0,4.5
110,64.0,335.0,5.0
120,63.5,330.0,5.0
130,63.0,320.0,5.0
140,62.5,312.0,5.5
150,62.0,305.0,5.5
160,60.0,295.0,6.0
170,58.0,285.0,6.0
180,56.0,280.0,6.0
190,54.0,275.0,6.5
200,52.0,270.0,6.5
210,50.0,260.0,6.5
220,48.0,250.0,7.0
230,46.0,240.0,7.0
240,43.0,230.0,7.0
250,40.0,220.0,7.5
260,37.0,200.0,7.5
270,35.0,185.0,7.5
280,34.0,170.0,8.0
290,32.0,160.0,8.0
300,30.0,150.0,8.0
310,28.0,140.0,8.0
320,25.0,135.0,8.0
330,20.0,138.0,8.5
340,16.0,142.0,8.5
350,12.0,145.0,8.5
360,8.0,150.0,9.0
370,5.0,152.0,9.0
380,2.0,155.0,9.0
390,-1.0,158.0,9.5
400,-4.0,160.0,9.5
