ageName age 1120ppm 560ppm
Priabonian 36 22.24 18.44
Bartonian 40 22.74 18.57
Lutetian 45 22.89 18.19
Ypresian 52 23.31 18.80
Thanetian 58 22.19 18.24
Selandian 60 22.40 18.70
Danian 64 22.52 18.38
Maastrichtian 69 23.98 18.69
Campanian 78 22.76 18.20
Santonian 85 22.91 18.16
Coniacian 88 22.87 18.31
Turonian 92 23.48 18.92
Cenomanian 97 22.88 18.64
Albian 107 22.58 18.52
Aptian 119 21.32 17.46
Barremian 127 21.29 17.38
Hauterivian 131 21.34 17.42
Valanginian 136 21.03 17.28
Berriasian 143 21.91 18.25
