lat,lon,sample_name,TOAGE,FROMAGE,OnlyCooling,TempDiff
-15.820634,35.75964,LITH01212018-ZO6335,0.0,5.0,2.2857142857142847,0.45714285714285696
-15.820634,35.75964,LITH01212018-ZO6335,5.0,10.0,2.2857142857142847,0.45714285714285696
-15.820634,35.75964,LITH01212018-ZO6335,10.0,15.0,2.2857142857142883,0.45714285714285763
-15.820634,35.75964,LITH01212018-ZO6335,15.0,20.0,2.2857142857142847,0.45714285714285696
-15.820634,35.75964,LITH01212018-ZO6335,20.0,25.0,2.2857142857142883,0.45714285714285763
-15.820634,35.75964,LITH01212018-ZO6335,25.0,30.0,2.2857142857142847,0.45714285714285696
-15.820634,35.75964,LITH01212018-ZO6335,30.0,35.0,2.2857142857142847,0.45714285714285696
-15.820634,35.75964,LITH01212018-ZO6335,35.0,40.0,1.6666666666666643,0.33333333333333287
-15.820634,35.75964,LITH01212018-ZO6335,40.0,45.0,1.6666666666666714,0.33333333333333426
-15.820634,35.75964,LITH01212018-ZO6335,45.0,50.0,1.6666666666666643,0.33333333333333287
-15.820634,35.75964,LITH01212018-ZO6335,50.0,55.0,1.6666666666666643,0.33333333333333287
-15.820634,35.75964,LITH01212018-ZO6335,55.0,60.0,1.6666666666666643,0.33333333333333287
-15.820634,35.75964,LITH01212018-ZO6335,60.0,65.0,1.6041666666666714,0.3208333333333343
-15.820634,35.75964,LITH01212018-ZO6335,65.0,70.0,1.5625,0.3125
-15.820634,35.75964,LITH01212018-ZO6335,70.0,75.0,1.5625,0.3125
-15.820634,35.75964,LITH01212018-ZO6335,75.0,80.0,1.5625,0.3125
-15.820634,35.75964,LITH01212018-ZO6335,80.0,85.0,1.5625,0.3125
-15.820634,35.75964,LITH01212018-ZO6335,85.0,90.0,1.5625,0.3125
-15.820634,35.75964,LITH01212018-ZO6335,90.0,95.0,2.25,0.45
-15.822759,34.75698,LITH01212018-ZO6041,0.0,5.0,2.3076923076923066,0.46153846153846134
-15.822759,34.75698,LITH01212018-ZO6041,5.0,10.0,2.30769230769231,0.461538461538462
-15.822759,34.75698,LITH01212018-ZO6041,10.0,15.0,2.3076923076923066,0.46153846153846134
-15.822759,34.75698,LITH01212018-ZO6041,15.0,20.0,2.30769230769231,0.461538461538462
