sample_name,lat,lon,age_ma,age_sd,method,publication,T_closure_C,cooling_rate
CUY-21,-33.028776,-69.052483,112.0,15.0,AFT,"Avila 2005, Radiat. Meas.",110.0,0.8928571428571429
CUY-20,-32.998702,-69.066101,13.0,1.5,AFT,"Avila 2005, Radiat. Meas.",110.0,7.6923076923076925
CUY-17,-32.979238,-69.102138,57.0,7.9,AFT,"Avila 2005, Radiat. Meas.",110.0,1.7543859649122806
CUY-6,-32.947551,-69.1284,163.0,17.0,AFT,"Avila 2005, Radiat. Meas.",110.0,0.6134969325153374
CUY-7,-32.940679,-69.132733,156.0,13.0,AFT,"Avila 2005, Radiat. Meas.",110.0,0.6410256410256411
CUY-3,-32.932902,-69.135846,158.0,20.0,AFT,"Avila 2005, Radiat. Meas.",110.0,0.6329113924050633
CUY-1,-32.925519,-69.140324,113.0,14.0,AFT,"Avila 2005, Radiat. Meas.",110.0,0.8849557522123894
CUY-59,-32.897575,-69.166626,158.0,20.0,AFT,"Avila 2005, Radiat. Meas.",110.0,0.6329113924050633
CUY-2,-32.822795,-69.187017,19.0,2.7,AFT,"Avila 2005, Radiat. Meas.",110.0,5.2631578947368425
CUY-31,-32.789592,-69.200257,88.0,17.0,AFT,"Avila 2005, Radiat. Meas.",110.0,1.1363636363636365
TR01,-35.18612,-70.0798,31.1,5.7,AFT,"Bande 2020, Springer",110.0,3.215434083601286
ALBA2,-34.84781,-69.71334,33.7,6.8,AFT,"Bande 2020, Springer",110.0,2.9673590504451037
LAMA2,-34.80211,-69.71637,12.3,1.7,AFT,"Bande 2020, Springer",110.0,8.130081300813007
APM 20-09,-35.09388889,-65.45111111,185.6,17.4,AFT,"Bense 2013, JSAES",110.0,0.5387931034482759
APM 28-08,-34.03111111,-66.54638889,229.6,21.2,AFT,"Bense 2013, JSAES",110.0,0.4355400696864112
AUY 27-10,-33.13833333,-65.37611111,223.2,21.3,AFT,"Bense 2013, JSAES",110.0,0.44802867383512546
AUY 28-10,-32.94694444,-65.13305556,188.8,17.1,AFT,"Bense 2013, JSAES",110.0,0.5296610169491525
AUY 29-10,-32.92805556,-65.16805556,201.4,17.6,AFT,"Bense 2013, JSAES",110.0,0.4965243296921549
AUY 51-08,-32.86666667,-66.92194444,236.5,32.7,AFT,"Bense 2013, JSAES",110.0,0.42283298097251587
AUY 30-10,-32.81111111,-65.21722222,189.2,16.7,AFT,"Bense 2013, JSAES",110.0,0.5285412262156448
AUY 33-10,-32.52861111,-65.30361111,269.9,32.5,AFT,"Bense 2013, JSAES",110.0,0.3705075954057058
APM 02-08 ,-32.06805556,-64.63,152.3,15.0,AFT,"Bense 2013, JSAES",110.0,0.6565988181221273
AUY 49-10,-31.59138889,-64.50305556,177.9,19.9,AFT,"Bense 2013, JSAES",110.0,0.5621135469364812
APM 55-08,-31.37388889,-65.37666667,185.2,16.3,AFT,"Bense 2013, JSAES",110.0,0.5399568034557236
APM 59-08,-31.35888889,-65.42611111,174.0,15.7,AFT,"Bense 2013, JSAES",110.0,0.5747126436781609
AUY 38-10,-31.35138889,-65.43333333,162.7,14.9,AFT,"Bense 2013, JSAES",110.0,0.6146281499692686
CHO-1,-31.8835,-70.7255,55.5,16.65,AFT,"Cembrano 2003, Congreso Geol. Chileno. Republished in Carretier (2017)",110.0,1.8018018018018018
ELQ-2,-29.985,-70.2469,34.2,10.26,AFT,"Cembrano 2003, Congreso Geol. Chileno. Republished in Carretier (2017)",110.0,2.923976608187134
ELQ-5,-29.9782,-70.1895,9.65,2.895,AFT,"Cembrano 2003, Congreso Geol. Chileno. Republished in Carretier (2017)",110.0,10.362694300518134
ELQ-6,-29.9635,-70.1893,6.0,1.8,AFT,"Cembrano 2003, Congreso Geol. Chileno. Republished in Carretier (2017)",110.0,16.666666666666668
ELQ-1,-29.8589,-70.4018,28.7,8.61,AFT,"Cembrano 2003, Congreso Geol. Chileno. Republished in Carretier (2017)",110.0,3.4843205574912894
28TR7,-30.80546667,-66.54428333,245.0,8.0,AFT,"Enkelmann 2014, Lithosphere",110.0,0.40816326530612246
28TR2,-30.76935,-66.4435,233.0,13.0,AFT,"Enkelmann 2014, Lithosphere",110.0,0.4291845493562232
28TR4,-30.6521,-66.37543333,225.0,13.0,AFT,"Enkelmann 2014, Lithosphere",110.0,0.4444444444444444
29TR3,-30.65193333,-66.28418333,259.0,34.0,AFT,"Enkelmann 2014, Lithosphere",110.0,0.3861003861003861
29TR7,-30.6471,-66.36216667,211.0,8.0,AFT,"Enkelmann 2014, Lithosphere",110.0,0.47393364928909953
29TR6,-30.6424,-66.34318333,209.0,7.0,AFT,"Enkelmann 2014, Lithosphere",110.0,0.4784688995215311
29TR2,-30.63991667,-66.27975,215.0,20.0,AFT,"Enkelmann 2014, Lithosphere",110.0,0.46511627906976744
29TR4,-30.6349,-66.31131667,224.0,8.0,AFT,"Enkelmann 2014, Lithosphere",110.0,0.44642857142857145
28TR6,-30.51028333,-66.52526667,232.0,27.0,AFT,"Enkelmann 2014, Lithosphere",110.0,0.43103448275862066
a41,-35.824,-70.793,2.89,0.5,AFT,"Farias 2008, Tectonics",110.0,34.602076124567475
a39,-35.0496,-70.631,11.3,1.5,AFT,"Farias 2008, Tectonics",110.0,8.849557522123893
a40,-35.0,-70.789,15.8,3.1,AFT,"Farias 2008, Tectonics",110.0,6.329113924050633
a38,-34.482,-70.838,31.0,6.3,AFT,"Farias 2008, Tectonics",110.0,3.225806451612903
a37,-34.478,-70.852,46.1,5.8,AFT,"Farias 2008, Tectonics",110.0,2.1691973969631237
a29,-34.435,-70.185,5.5,1.31,AFT,"Farias 2008, Tectonics",110.0,18.181818181818183
a31,-34.426,-70.14,3.51,1.13,AFT,"Farias 2008, Tectonics",110.0,28.490028490028493
a27,-34.423,-70.166,5.99,1.54,AFT,"Farias 2008, Tectonics",110.0,16.69449081803005
a25,-34.404,-70.253,7.73,2.41,AFT,"Farias 2008, Tectonics",110.0,12.936610608020699
a28,-34.37,-70.298,5.7,2.42,AFT,"Farias 2008, Tectonics",110.0,17.543859649122805
a34,-34.203,-70.59,5.41,1.06,AFT,"Farias 2008, Tectonics",110.0,18.484288354898336
a8,-34.202,-70.602,22.8,4.4,AFT,"Farias 2008, Tectonics",110.0,4.385964912280701
a9,-34.202,-70.61,19.9,4.1,AFT,"Farias 2008, Tectonics",110.0,5.025125628140704
